"order_item_id","order_id","product_id","quantity","unit_price","discount_pct"
1,50001,1132,1,133.76,0.05
2,50002,1092,1,425.76,0.10
3,50003,1018,1,247.85,0.05
4,50003,1056,5,223.94,0.15
5,50004,1174,1,169.69,0.15
6,50004,1198,2,5.26,0.10
7,50004,1178,1,168.07,0.20
8,50005,1032,1,343.28,0.00
9,50005,1080,1,63.34,0.05
10,50006,1114,3,222.08,0.00
11,50006,1190,2,57.73,0.15
12,50007,1171,2,146.45,0.00
13,50007,1064,3,14.70,0.00
14,50008,1053,1,75.79,0.00
15,50008,1033,1,506.63,0.05
16,50008,1024,1,81.07,0.05
17,50008,1045,2,31.32,0.05
18,50008,1152,4,286.74,0.15
19,50009,1111,1,451.91,0.05
20,50009,1195,2,168.58,0.00
21,50010,1019,1,500.68,0.00
22,50010,1086,1,404.88,0.05
23,50011,1032,1,347.06,0.00
24,50012,1109,1,242.92,0.15
25,50012,1189,2,122.95,0.10
26,50012,1064,2,14.39,0.05
27,50013,1165,1,146.39,0.20
28,50013,1183,1,70.61,0.05
29,50013,1099,3,244.95,0.00
30,50014,1089,1,47.01,0.10
31,50014,1037,2,508.03,0.00
32,50015,1188,1,67.02,0.00
33,50015,1111,1,436.17,0.00
34,50015,1044,2,243.68,0.00
35,50016,1028,1,393.73,0.00
36,50016,1163,1,9.40,0.05
37,50016,1043,2,102.48,0.00
38,50016,1021,2,413.17,0.10
39,50017,1195,1,168.60,0.00
40,50017,1069,3,27.67,0.15
41,50017,1125,4,241.52,0.00
42,50017,1122,1,185.59,0.00
43,50017,1194,1,27.19,0.10
44,50018,1064,2,14.86,0.05
45,50018,1095,1,87.40,0.25
46,50018,1116,4,41.67,0.00
47,50019,1021,1,444.98,0.20
48,50019,1090,5,199.02,0.20
49,50020,1078,5,38.94,0.20
50,50020,1173,4,62.36,0.05
51,50020,1141,1,247.29,0.20
52,50021,1099,2,253.21,0.25
53,50021,1197,2,58.43,0.20
54,50021,1072,2,73.56,0.15
55,50021,1057,1,127.26,0.05
56,50022,1049,2,241.65,0.00
57,50022,1191,1,133.44,0.00
58,50022,1030,2,116.01,0.00
59,50023,1057,1,130.54,0.05
60,50023,1028,1,411.71,0.15
61,50024,1180,1,24.91,0.00
62,50024,1009,4,154.26,0.15
63,50024,1154,2,113.68,0.25
64,50024,1082,1,109.68,0.00
65,50025,1077,5,115.58,0.00
66,50025,1169,2,45.65,0.15
67,50025,1041,1,145.05,0.00
68,50026,1118,2,109.16,0.05
69,50026,1168,3,153.97,0.15
70,50026,1042,1,152.12,0.00
71,50027,1122,1,181.03,0.25
72,50028,1102,1,388.42,0.25
73,50029,1095,1,86.93,0.10
74,50029,1003,2,438.60,0.25
75,50029,1031,1,574.71,0.20
76,50030,1138,3,53.52,0.05
77,50030,1048,1,25.88,0.05
78,50030,1104,1,184.70,0.10
79,50031,1081,1,36.81,0.10
80,50031,1032,1,338.53,0.15
81,50032,1001,4,393.28,0.15
82,50032,1064,2,14.61,0.05
83,50032,1077,2,115.35,0.25
84,50032,1012,1,221.31,0.00
85,50033,1056,1,217.72,0.00
86,50033,1035,2,199.36,0.20
87,50033,1155,1,279.69,0.20
88,50033,1142,2,233.59,0.00
89,50034,1112,1,255.42,0.00
90,50035,1070,3,189.55,0.00
91,50035,1038,1,416.95,0.15
92,50036,1073,2,115.09,0.00
93,50036,1142,4,223.65,0.00
94,50036,1070,2,201.06,0.05
95,50037,1146,2,10.81,0.10
96,50038,1091,2,329.50,0.00
97,50039,1024,1,84.61,0.20
98,50039,1163,1,9.01,0.10
99,50040,1191,2,133.08,0.10
100,50040,1002,1,186.64,0.25
101,50041,1135,1,225.53,0.00
102,50041,1058,1,228.95,0.00
103,50041,1045,4,31.41,0.10
104,50041,1020,2,535.09,0.20
105,50042,1165,3,139.99,0.05
106,50042,1132,2,135.51,0.00
107,50043,1103,1,220.97,0.00
108,50043,1091,1,320.31,0.00
109,50043,1003,1,436.11,0.10
110,50044,1069,5,26.94,0.05
111,50044,1028,1,405.48,0.00
112,50045,1009,1,151.50,0.10
113,50045,1042,1,149.35,0.05
114,50045,1171,2,146.66,0.00
115,50046,1004,2,518.72,0.15
116,50046,1197,1,58.12,0.00
117,50047,1131,1,304.07,0.00
118,50048,1027,1,173.96,0.25
119,50048,1180,2,23.30,0.00
120,50048,1187,1,132.40,0.00
121,50049,1180,5,23.44,0.05
122,50049,1163,1,9.29,0.00
123,50050,1047,2,197.24,0.00
124,50050,1011,1,492.51,0.05
125,50050,1001,1,392.40,0.00
126,50050,1014,1,79.39,0.10
127,50051,1150,1,36.68,0.00
128,50052,1026,4,240.11,0.00
129,50052,1020,1,531.35,0.05
130,50053,1144,1,302.86,0.20
131,50053,1089,1,47.82,0.20
132,50053,1094,1,373.58,0.10
133,50054,1190,2,61.72,0.25
134,50054,1102,1,390.35,0.00
135,50054,1127,2,34.39,0.00
136,50055,1117,2,264.58,0.15
137,50055,1129,1,34.26,0.00
138,50055,1182,1,111.39,0.00
139,50056,1157,1,91.48,0.15
140,50056,1076,3,243.25,0.25
141,50057,1161,2,156.95,0.15
142,50058,1186,1,96.44,0.05
143,50059,1187,2,129.67,0.00
144,50059,1047,1,198.41,0.10
145,50060,1187,2,135.95,0.00
146,50060,1193,1,77.39,0.15
147,50061,1004,1,551.70,0.15
148,50061,1003,1,435.53,0.15
149,50061,1028,3,407.65,0.00
150,50062,1012,1,217.05,0.05
